Date,Open,High,Low,Close,Volume,Currency
2020-12-12,544.16,573.59,543.9,567.78,1619263,USD
2020-12-13,568.07,594.83,563.37,591.09,2028089,USD
2020-12-14,590.66,591.41,576.01,586.19,1782664,USD
2020-12-15,586.22,596.97,579.95,588.91,1741347,USD
2020-12-16,588.81,638.18,580.9,637.38,3114829,USD
2020-12-17,637.29,675.68,627.36,643.17,3674617,USD
2020-12-18,643.28,664.26,630.44,653.85,2632516,USD
2020-12-19,654.08,669.54,645.91,658.17,2168104,USD
2020-12-20,657.79,661.04,622.39,638.26,2108939,USD
2020-12-21,638.28,647.87,599.97,607.85,1877894,USD
2020-12-22,607.86,637.47,588.24,637.47,2120868,USD
2020-12-23,637.04,638.11,554.09,585.69,2202941,USD
2020-12-24,585.47,614.92,566.15,612.34,1718787,USD
2020-12-25,612.38,633.9,605.01,626.93,1704929,USD
2020-12-26,626.99,652.36,616.04,636.58,1942560,USD
2020-12-27,636.35,715.46,627.12,683.71,2312255,USD
2020-12-28,683.76,747.86,682.47,730.05,2746912,USD
2020-12-29,730.26,739.77,690.24,731.76,1817668,USD
2020-12-30,732.04,757.11,720.21,751.8,1858262,USD
2020-12-31,751.92,755.13,724.67,735.94,1042671,USD
2021-01-01,735.87,748.96,715.74,729.12,1641656,USD
2021-01-02,729.0,787.26,715.15,774.5,2253560,USD
2021-01-03,774.54,1008.49,769.57,974.97,4022020,USD
2021-01-04,977.76,1158.27,894.24,1042.4,5192008,USD
2021-01-05,1042.48,1131.56,976.91,1099.52,3252048,USD
2021-01-06,1099.77,1210.78,1060.67,1207.77,3745742,USD
2021-01-07,1208.71,1286.81,1153.09,1224.35,2710166,USD
2021-01-08,1224.33,1271.08,1069.25,1215.73,2714580,USD
2021-01-09,1215.92,1301.75,1172.39,1275.58,1994817,USD
2021-01-10,1275.87,1347.98,1180.45,1256.04,2647209,USD
2021-01-11,1255.84,1257.3,917.96,1091.47,4192003,USD
2021-01-12,1086.96,1149.19,1008.28,1050.19,3086238,USD
2021-01-13,1050.2,1134.66,990.96,1128.46,2248596,USD
2021-01-14,1128.8,1246.52,1088.52,1226.17,1549214,USD
2021-01-15,1233.34,1256.13,1079.19,1171.68,2848436,USD
2021-01-16,1172.12,1290.92,1154.04,1228.27,2285326,USD
2021-01-17,1228.33,1269.01,1168.39,1232.64,2148990,USD
2021-01-18,1233.93,1260.3,1184.15,1258.06,1725667,USD
2021-01-19,1258.1,1437.42,1252.36,1372.0,2274791,USD
2021-01-20,1372.0,1406.56,1237.27,1377.53,3045249,USD
2021-01-21,1377.63,1387.39,1095.26,1117.33,2764890,USD
2021-01-22,1118.01,1272.85,1045.02,1234.58,2941477,USD
2021-01-23,1234.34,1271.65,1196.94,1233.4,1457953,USD
2021-01-24,1233.41,1398.0,1222.14,1390.28,2304544,USD
2021-01-25,1390.69,1474.68,1298.13,1317.9,2767324,USD
2021-01-26,1317.67,1377.94,1246.45,1366.27,2563443,USD
2021-01-27,1366.14,1372.31,1210.4,1247.62,2899614,USD
2021-01-28,1247.67,1359.51,1221.15,1328.47,814313,USD
2021-01-29,1329.16,1436.27,1288.26,1379.3,3329879,USD
2021-01-30,1379.78,1405.78,1327.66,1376.96,1590838,USD
2021-01-31,1377.05,1380.04,1282.41,1312.73,1542367,USD
2021-02-01,1312.69,1376.44,1272.09,1373.4,1654291,USD
2021-02-02,1373.31,1546.88,1361.63,1511.36,2734866,USD
2021-02-03,1511.96,1667.93,1510.27,1664.34,2271930,USD
2021-02-04,1664.19,1693.64,1570.45,1594.0,2342435,USD
2021-02-05,1593.91,1760.09,1589.28,1719.2,1801373,USD
2021-02-06,1719.11,1742.9,1648.03,1676.63,1776825,USD
2021-02-07,1676.62,1692.29,1491.68,1612.99,1940503,USD
2021-02-08,1612.98,1775.12,1566.43,1750.18,2171855,USD
2021-02-09,1750.19,1818.94,1711.4,1770.63,1940947,USD
2021-02-10,1770.81,1835.4,1683.52,1742.09,2006412,USD
2021-02-11,1742.11,1817.68,1704.97,1786.35,1560450,USD
2021-02-12,1786.74,1862.17,1741.04,1841.02,1752172,USD
2021-02-13,1840.9,1871.36,1766.05,1815.49,1438209,USD
2021-02-14,1815.44,1850.0,1787.11,1801.78,1427218,USD
2021-02-15,1800.6,1835.51,1661.09,1778.82,1944421,USD
2021-02-16,1778.63,1827.07,1726.78,1781.69,1479326,USD
2021-02-17,1781.44,1854.03,1734.15,1847.95,1690174,USD
2021-02-18,1849.95,1950.04,1849.05,1934.16,881868,USD
2021-02-19,1934.17,1968.93,1892.7,1955.59,1782858,USD
2021-02-20,1955.54,2040.79,1800.0,1913.88,2290722,USD
2021-02-21,1912.97,1974.99,1885.7,1933.45,1471930,USD
2021-02-22,1933.52,1935.04,1561.68,1777.28,2684611,USD
2021-02-23,1777.25,1781.44,1370.45,1578.11,3601992,USD
2021-02-24,1578.27,1711.16,1505.79,1623.71,2186344,USD
2021-02-25,1623.76,1669.24,1460.92,1476.15,1750576,USD
2021-02-26,1476.77,1561.66,1403.3,1445.44,2125453,USD
2021-02-27,1445.69,1527.69,1427.15,1458.93,1556380,USD
2021-02-28,1458.84,1467.76,1294.79,1418.76,2068053,USD
2021-03-01,1418.91,1571.15,1411.55,1570.03,1915625,USD
2021-03-02,1570.0,1602.13,1457.22,1488.62,1738556,USD
2021-03-03,1488.8,1653.04,1477.72,1571.05,1169650,USD
2021-03-04,1567.84,1623.73,1506.86,1538.61,1698354,USD
2021-03-05,1539.73,1548.71,1443.32,1530.29,1665988,USD
2021-03-06,1530.24,1670.01,1514.62,1649.19,2070252,USD
2021-03-07,1650.94,1732.84,1634.73,1728.1,1690465,USD
2021-03-08,1727.17,1841.05,1665.54,1831.49,1968560,USD
2021-03-09,1831.57,1869.1,1801.29,1869.1,1580545,USD
2021-03-10,1869.32,1875.98,1759.5,1794.14,1664107,USD
2021-03-11,1794.28,1845.32,1729.05,1825.79,1580213,USD
